"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 21:47:49 GMT 2024","Fri Apr 05 21:47:50 GMT 2024","314","","","","ProjectFakerApiTest","DeleteProjectTest","DeleteProjectTest",""
"passed","Fri Apr 05 21:47:50 GMT 2024","Fri Apr 05 21:48:08 GMT 2024","18251","","","","ProjectTest","SuccessfulAddProjectTest","SuccessfulAddProjectTest",""
"passed","Fri Apr 05 21:47:48 GMT 2024","Fri Apr 05 21:47:56 GMT 2024","7632","","","","LoginTest","InvalidUsernameLoginTest","InvalidUsernameLoginTest",""
"passed","Fri Apr 05 21:47:48 GMT 2024","Fri Apr 05 21:47:49 GMT 2024","871","","","","ProjectApiTest","AddProjectTest","AddProjectTest",""
"passed","Fri Apr 05 21:47:49 GMT 2024","Fri Apr 05 21:47:49 GMT 2024","296","","","","ProjectApiTest","GetProjectTest","GetProjectTest",""
"passed","Fri Apr 05 21:47:48 GMT 2024","Fri Apr 05 21:47:49 GMT 2024","1004","","","","ProjectFakerApiTest","AddProjectTest","AddProjectTest",""
"passed","Fri Apr 05 21:47:49 GMT 2024","Fri Apr 05 21:47:49 GMT 2024","263","","","","ProjectFakerApiTest","GetProjectTest","GetProjectTest",""
"passed","Fri Apr 05 21:47:49 GMT 2024","Fri Apr 05 21:47:50 GMT 2024","257","","","","ProjectApiTest","UpdateAddProjectTest","UpdateAddProjectTest",""
"passed","Fri Apr 05 21:47:50 GMT 2024","Fri Apr 05 21:47:50 GMT 2024","293","","","","ProjectApiTest","DeleteProjectTest","DeleteProjectTest",""
"passed","Fri Apr 05 21:47:48 GMT 2024","Fri Apr 05 21:47:56 GMT 2024","8367","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
